episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status,pause_duration,obstacle_crash_counter
0,1.0,3.1998682885457295,0.683108767372955,0.1854045916538892,-3.92389252781868,1.6259889602661133,[-3.92389252781868 1.6259889602661133],0.0,False,True,0.791316565414516,1,17.709159380834848,5.394,prepare,0.0,0
0,2.0,3.1997327938476117,0.6831032114197831,0.18326595495146542,-3.9056722819805145,1.6261191368103027,[-3.9056722819805145 1.6261191368103027],1.0,False,True,0.7905513581379272,1,17.709159380834848,5.459,in_progress,0.0,0
0,3.0,3.208262936903851,0.6844964682123068,0.5286108168412158,-4.941868633031845,1.597979724407196,[-4.941868633031845 1.597979724407196],1.0,False,True,0.8387442491297307,1,17.709159380834848,5.525,in_progress,0.0,0
0,4.0,3.2319339303913144,0.6846940054014932,0.5027561996999308,-5.509897917509079,1.5526543259620667,[-5.509897917509079 1.5526543259620667],1.0,False,True,0.9723982077201323,1,17.709159380834848,5.594,in_progress,0.0,0
0,5.0,3.2718120099976025,0.6814532632337164,-0.3802220208470238,-2.903211861848831,1.530850201845169,[-2.903211861848831 1.530850201845169],1.0,False,True,1.1975532775582767,1,17.709159380834848,5.661,in_progress,0.0,0
0,6.0,3.322967471554156,0.6796440514436487,-0.7065621594108512,-4.197896271944046,1.6395850777626038,[-4.197896271944046 1.6395850777626038],1.0,False,True,1.4864017200993023,2,17.709159380834848,5.721,in_progress,0.0,0
0,7.0,3.3892498220673715,0.6742790530932494,-1.77252691644325,-0.879041813313961,1.6299236714839935,[-0.879041813313961 1.6299236714839935],1.0,False,True,1.8607035068262847,2,17.709159380834848,5.789,in_progress,0.0,0
0,8.0,3.4709482521402575,0.6678199680041805,-2.6210279820585254,0.6715045496821404,1.6128836870193481,[0.6715045496821404 1.6128836870193481],1.0,False,True,2.322028565428779,3,17.709159380834848,5.8580000000000005,in_progress,0.0,0
0,9.0,3.5672867010084794,0.6643754663053706,-2.434818888892791,-0.2925747726112604,1.6486548781394958,[-0.2925747726112604 1.6486548781394958],1.0,False,True,2.8660118475933585,3,17.709159380834848,5.924,in_progress,0.0,0
0,10.0,3.6635806779765616,0.6590557568764446,-2.68597182848224,0.8012934029102325,1.6828357875347137,[0.8012934029102325 1.6828357875347137],1.0,False,True,3.409755325692454,4,17.709159380834848,5.994,in_progress,0.0,0
