episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status,pause_duration,obstacle_crash_counter
260,1.0,3.2000665534513653,0.6831394085168276,0.18157180336314432,-19.7095718904511,1.0,[-19.7095718904511 1.0],0.0,False,True,0.7924366744805058,1,17.709159380834848,3213.193,prepare,0.0,0
260,2.0,3.19973279384771,0.6831032114197835,0.18326595495146542,7.8982185909454685,1.0,[7.8982185909454685 1.0],2.0158110271627585,False,True,0.7905513581379263,1,17.709159380834848,3213.257,in_progress,0.0,0
260,3.0,3.2058177064701185,0.6807909767103133,-0.44031854877871474,5.594247038547138,1.528696443502115,[5.594247038547138 1.528696443502115],2.0164973935199813,False,True,0.8248696759990564,1,17.709159380834848,3213.333,in_progress,0.0,0
260,4.0,3.2235840083703904,0.6828796148956253,0.07217252055495624,-19.817236142196062,3.3519850514928735,[-19.817236142196062 3.3519850514928735],2.0185046454457587,False,True,0.9252322722879409,1,17.709159380834848,3213.395,in_progress,0.0,0
260,5.0,3.2521004205429436,0.685916704417781,0.8140939436530953,-30.0,2.2762760336383407,[-30.0 2.2762760336383407],2.0217256938241466,False,True,1.086284691207334,1,17.709159380834848,3213.458,in_progress,0.0,0
260,6.0,3.295759694395312,0.6742131081655013,-2.0302301181735034,16.97783819795334,4.0,[16.97783819795334 4.0],1.0266543637333587,False,True,1.3327181866679336,2,17.709159380834848,3213.536,in_progress,0.0,0
260,7.0,3.3593512210225756,0.6621170731006777,-3.9442025877639697,-28.036486099447753,4.0,[-28.036486099447753 4.0],1.0338370963528247,False,True,1.6918548176412376,2,17.709159380834848,3213.595,in_progress,0.0,0
260,8.0,3.418672878660934,0.65787336754904,-4.310730536219049,30.0,1.0,[30.0 1.0],2.0405365199177927,False,True,2.026825995889646,2,17.709159380834848,3213.66,in_progress,0.0,0
260,9.0,3.494563015562301,0.6434465003088609,-6.280385464227616,13.5857155907131,4.0,[13.5857155907131 4.0],2.0491068281095117,False,True,2.455341405475584,3,17.709159380834848,3213.732,in_progress,0.0,0
260,10.0,3.586553853339934,0.6369953937041273,-5.753251974792966,6.900238074509126,1.640214726067359,[6.900238074509126 1.640214726067359],2.059494966818564,False,True,2.9747483409282007,4,17.709159380834848,3213.784,in_progress,0.0,0
260,11.0,3.665733977151882,0.6485841386123248,-1.756882327749854,-11.163273409222192,1.0,[-11.163273409222192 1.0],2.068437849322151,False,True,3.421892466107559,4,17.709159380834848,3213.859,in_progress,0.0,0
260,12.0,3.7565027418620955,0.6618117443260101,1.7404320950926533,4.355901342905838,4.0,[4.355901342905838 4.0],4.078689459788765,False,True,3.9344729894382633,5,17.709159380834848,3213.927,in_progress,0.0,0
