episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status,pause_duration,obstacle_crash_counter
200,1.0,3.1999043978427473,0.6832459998857657,0.22316720588836284,27.909727298335802,1.4282968572689465,[27.909727298335802 1.4282968572689465],0.0,False,True,0.7915229448469199,1,17.709159380834848,1701.629,prepare,0.0,0
200,2.0,3.1997327938476863,0.6831032114197834,0.18326595495146542,-30.0,1.0,[-30.0 1.0],4.644763783953448,False,True,0.7905513581379267,1,17.709159380834848,1701.705,in_progress,0.0,0
200,3.0,3.2091233199101867,0.679096069982746,-0.7148478350026862,-9.633744046273506,1.0,[-9.633744046273506 1.0],4.646087627257586,False,True,0.8435050903034422,1,17.709159380834848,1701.781,in_progress,0.0,0
200,4.0,3.236043604889167,0.67536490691915,-1.5960143862507252,24.791020111078844,4.0,[24.791020111078844 4.0],6.524888100034771,False,True,0.9955240013908542,1,17.709159380834848,1701.844,in_progress,0.0,0
200,5.0,3.2744332834744068,0.6739368316844976,-1.599724717719369,30.0,4.0,[30.0 4.0],6.53030725148619,False,True,1.2122900594475743,1,17.709159380834848,1701.907,in_progress,0.0,0
200,6.0,3.321160807253493,0.6908576397845267,2.734336707152445,-27.158857410320856,1.0,[-27.158857410320856 1.0],4.661907420852323,False,True,1.4762968340929208,2,17.709159380834848,1701.982,in_progress,0.0,0
200,7.0,3.3799132984104023,0.7061998138139185,6.36668294749011,-30.0,1.0,[-30.0 1.0],4.670200694196757,False,True,1.8080277678702974,2,17.709159380834848,1702.048,in_progress,0.0,0
200,8.0,3.438712714009564,0.7045198739635664,4.486170173917968,-30.0,2.063040526404136,[-30.0 2.063040526404136],5.342901669567425,False,True,2.1400536225936215,3,17.709159380834848,1702.11,in_progress,0.0,0
200,9.0,3.508046157618103,0.6876958761348568,-0.5402452257717186,4.4662236382881915,4.0,[4.4662236382881915 4.0],6.5632885323992305,False,True,2.531541295969232,3,17.709159380834848,1702.173,in_progress,0.0,0
200,10.0,3.5887261804809376,0.6637115973276444,-5.535960951844921,30.0,3.64052598536621,[30.0 3.64052598536621],6.350005608590445,False,True,2.9870747094625485,4,17.709159380834848,1702.24,in_progress,0.0,0
200,11.0,3.669536024003145,0.654127524406847,-6.163859203778255,12.648884599115028,1.1513041126817187,[12.648884599115028 1.1513041126817187],4.805649409019831,False,True,3.443373543750293,4,17.709159380834848,1702.314,in_progress,0.0,0
200,12.0,3.773628733624447,0.6620519441633237,-2.1118844972182407,30.0,3.1128431188102863,[30.0 3.1128431188102863],6.046306460790259,False,True,4.031180461353197,5,17.709159380834848,1702.382,in_progress,0.0,0
200,13.0,3.86679274130125,0.6814774712790562,3.1770696493714006,-30.0,3.2113287262743757,[-30.0 3.2113287262743757],6.1210129492079135,False,True,4.557299811457116,5,17.709159380834848,1702.441,in_progress,0.0,0
