episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status,pause_duration,obstacle_crash_counter
260,1.0,3.199878060691818,0.6832238920371213,0.20008594573232963,-1.837303554242471,1.3,[-1.837303554242471 1.3],0.0,False,True,0.7913738257974151,1,17.709159380834848,1483.669,prepare,0.0,0
260,2.0,3.19973279384771,0.6831032114197835,0.18326595495146542,7.507856058221904,4.0,[7.507856058221904 4.0],3.0,False,True,0.7905513581379263,1,17.709159380834848,1483.758,in_progress,0.0,0
260,3.0,3.2129835944446157,0.6863505288760804,0.822937130524809,22.96582477458633,1.3250035423439104,[22.96582477458633 1.3250035423439104],1.6318756199101843,False,True,0.865403987273658,1,17.709159380834848,1483.817,in_progress,0.0,0
260,4.0,3.2389099154150585,0.6986623110147956,3.2129116017779302,-30.0,2.497585008377629,[-30.0 2.497585008377629],1.837077376466085,False,True,1.011910907992085,1,17.709159380834848,1483.876,in_progress,0.0,0
260,5.0,3.2791943665288117,0.7133926370520455,5.974667923396895,22.937901368337208,1.3,[22.937901368337208 1.3],1.6275,False,True,1.239516070654683,1,17.709159380834848,1483.951,in_progress,0.0,0
260,6.0,3.331612763046062,0.7227513888260635,6.87933914822732,-27.48647178703018,1.3,[-27.48647178703018 1.3],1.6275,False,True,1.535592611377214,2,17.709159380834848,1484.017,in_progress,0.0,0
260,7.0,3.3865250722589195,0.7334845806525415,7.896990667208184,-21.072415980757064,1.3,[-21.072415980757064 1.3],1.6275,False,True,1.8454021622841117,2,17.709159380834848,1484.084,in_progress,0.0,0
260,8.0,3.4573719004241634,0.7273373315168268,4.281197230235075,-30.0,1.3,[-30.0 1.3],1.6275,False,True,2.2454508933854234,3,17.709159380834848,1484.153,in_progress,0.0,0
260,9.0,3.5296675943627145,0.7082807283463091,-1.2901586208136997,-30.0,3.6833867816687915,[-30.0 3.6833867816687915],2.044592686792038,False,True,2.653682547263012,3,17.709159380834848,1484.229,in_progress,0.0,0
260,10.0,3.613614908801048,0.672420474053707,-8.882299135631486,20.748154361885092,2.5645028162115455,[20.748154361885092 2.5645028162115455],1.8487879928370203,False,True,3.1276357105938355,4,17.709159380834848,1484.289,in_progress,0.0,0
260,11.0,3.691084846262247,0.6321654906336994,-15.887213789164674,14.61145064183355,1.8161176583344418,[14.61145064183355 1.8161176583344418],1.717820590208527,False,True,3.5650089786917616,4,17.709159380834848,1484.356,in_progress,0.0,0
260,12.0,3.7844439235705387,0.6035062353789248,-17.224176162857628,30.0,1.3,[30.0 1.3],1.6275,False,True,4.092128070900873,5,17.709159380834848,1484.42,in_progress,0.0,0
260,13.0,3.8818423913047035,0.5827316227082303,-15.438973344591998,28.573587086316522,2.678167525847449,[28.573587086316522 2.678167525847449],1.5186793170233035,False,True,4.6420881390000375,5,17.709159380834848,1484.493,in_progress,0.0,0
260,14.0,3.9823709943986616,0.5689823469092071,-12.42499397612367,15.248826597441294,1.3377281328650132,[15.248826597441294 1.3377281328650132],1.2841024232513774,False,True,5.209725811075875,6,17.709159380834848,1484.545,in_progress,0.0,0
260,15.0,4.074773313656462,0.569640876835682,-7.743784744057566,30.0,1.3,[30.0 1.3],1.2774999999999999,False,True,5.7315040643608155,7,17.709159380834848,1484.614,in_progress,0.0,0
260,16.0,4.176758839386694,0.5804679729204256,-2.5539482419477277,27.4988031394063,3.934067070699112,[27.4988031394063 3.934067070699112],1.7384617373723443,False,True,6.3074130175109016,7,17.709159380834848,1484.68,in_progress,0.0,0
260,17.0,4.279881793207796,0.6005400568160376,2.747686425849547,10.71530067176274,1.3,[10.71530067176274 1.3],1.6275,False,True,6.889764540849025,8,17.709159380834848,1484.761,in_progress,0.0,0
260,18.0,4.399978254806455,0.6377843916076139,9.903870399613165,-30.0,2.850395489224675,[-30.0 2.850395489224675],1.8988192106143178,False,True,7.568000272362483,9,17.709159380834848,1484.817,in_progress,0.0,0
260,19.0,4.490585638060849,0.665362193276704,13.278261185376474,-16.787027308047154,2.7278673403479896,[-16.787027308047154 2.7278673403479896],1.877376784560898,False,True,8.079698007259498,10,17.709159380834848,1484.889,in_progress,0.0,0
260,20.0,4.612435374829242,0.6853260752782462,11.622937265962843,17.94896288855972,4.0,[17.94896288855972 4.0],2.0999999999999996,False,True,8.767798690570256,10,17.709159380834848,1484.951,in_progress,0.0,0
260,21.0,4.735363635507054,0.7010203517575027,9.931305759552373,10.57786593503554,2.3970154197356774,[10.57786593503554 2.3970154197356774],1.8194776984537433,False,True,9.461983615731326,11,17.709159380834848,1485.017,in_progress,0.0,0
260,22.0,4.873635307878746,0.7392303095828776,12.707587561736108,-30.0,1.3,[-30.0 1.3],1.6275,False,True,10.242859707345232,12,17.709159380834848,1485.081,in_progress,0.0,0
260,23.0,4.998417854421949,0.7810338147280129,16.504635879967346,-30.0,3.165097689093173,[-30.0 3.165097689093173],1.6038920955913052,False,True,10.94757295599659,13,17.709159380834848,1485.154,in_progress,0.0,0
260,24.0,5.147465738047226,0.8170863657720773,14.839392872792631,-30.0,1.3,[-30.0 1.3],1.2774999999999999,False,True,11.789267516340747,14,17.709159380834848,1485.225,in_progress,0.0,0
260,25.0,5.272406722526759,0.8339516878522008,11.527542391799756,-30.0,3.8110340666966716,[-30.0 3.8110340666966716],1.7169309616719173,False,True,12.49477458522213,15,17.709159380834848,1485.296,in_progress,0.0,0
